a	1
about	3
abre	-3
after	3
again	3
agree	3
aime	-3
aja	-3
akii	-3
aku	-3
al	-1
all	2
ama	-3
amazing	3
amiga	-3
amigo	-1
an	1
and	2
andere	-3
animal	3
anlad	-3
apa	-3
aplicando	-3
appear	3
appears	3
aqui	-3
are	2
argen	-3
as	1
at	1
aussi	-3
awaking	3
away	3
ayse	-3
azt	-3
ba	-2
baby	2
back	3
bak	-3
bakal	-3
bath	3
batin	-3
be	1
beach	3
been	3
beijo	-3
beer	2
belom	-3
best	3
better	3
bienvenida	-3
bikin	-3
bir	-3
bisa	-3
bitte	-3
boas	-3
bok	-3
btw	1
bu	-2
buenos	-3
bukan	-3
bunga	-3
burning	3
but	1
buy	2
by	2
c'est	-3
ca	-2
can	1
casa	-3
christmas	3
cilok	-3
class	3
clean	3
coba	-3
com	0
come	3
coming	3
completely	3
como	-3
confundo	-3
contar	-3
creo	-3
cuando	-3
curti	-3
cut	2
da	-1
damn	2
da	-2
dan	3
dann	-3
dari	-3
dating	2
day	2
de	-2
deh	-3
dekem	-3
demir	-3
desde	-3
di	-2
dia	-1
dias	-3
días	-3
did	3
diga	-3
dileta	-3
dinner	3
do	0
doesn't	3
doing	3
don't	3
donde	-3
dont	2
drinking	3
dun	-3
e	-1
é	-2
east	3
easy	3
een	-3
ein	-3
eita	-3
el	-2
elam	-3
emails	2
en	-2
english	3
enjoyed	3
entenda	-3
entrar	-3
ersten	-3
es	-3
esok	-3
esa	-3
essa	-3
esse	-3
essen	-2
estão	-3
estão	-3
estos	-3
eu	-1
even	3
everyone	3
everytime	3
ewang	-3
exija	-3
fait	-3
fale	-3
family	3
farewell	3
fases	-3
fashion	2
faz	-3
feel	3
fica	-3
filled	3
fim	-3
fin	-3
finish	3
finished	3
first	3
foi	-3
follow	2
for	1
from	3
full	3
gak	-3
ganas	-3
genau	-3
gente	-3
get	3
gets	3
girl	3
girls	3
gleich	-3
go	1
goes	3
going	3
gonna	3
good	3
goodnight	3
gordum	-3
got	2
gotta	3
gracias	-3
great	3
gritando	-3
gue	-3
gun	-3
had	2
haha	0
hahaha	0
hair	3
hao	-3
happy	3
hari	-3
hasta	-2
have	2
hay	-3
haya	-3
he	1
heart	3
hein	-3
her	2
heute	-3
his	2
hoje	-3
hola	-2
hoort	-3
hope	3
how	3
i	1
i'm	2
ich	-3
if	1
ik	-3
ikut	-3
il	-3
imi	-3
in	1
ini	-2
is	1
isso	-3
ist	-3
it	2
it's	3
ita	-3
its	3
itu	-3
ja	-2
je	-3
jepe	-3
jij	-3
job	1
juara	-3
just	3
kak	-3
kalee	-3
kali	-3
kalo	-3
kamu	-3
kan	-3
ke	-3
keeps	3
kid	2
kiss	3
klo	-3
know	3
kok	-3
komt	-3
ku	-3
kusut	-3
la	-1
lagi	-3
laki	-3
lar	-3
las	-3
last	3
latest	3
left	3
libero	-3
life	3
like	3
lil	0
lindo	-3
link	1
little	3
live	2
lol	0
long	2
look	2
looks	3
los	-3
love	2
lovely	3
lu	-3
luput	-3
low	2
maar	-3
made	2
mah	-3
maior	-3
mais	-3
make	3
makaish	-3
makan	-3
makin	-3
making	3
mal	-3
malam	-3
malem	-3
man	-1
manis	-3
mano	-3
marga	-3
market	3
mas	-3
masi	-3
masih	-3
matter	3
mau	-3
me	1
mean	3
means	3
mecim	-3
meines	-3
mero	-3
merry	2
mert	-3
mesmo	-3
meeting	3
meu	-3
meus	-3
mi	-2
might	3
mimir	-3
minal	-3
mir	-3
mischievous	3
miss	1
mistake	3
mohon	-3
month	3
monto	-3
more	2
morning	3
morri	-3
morta	-3
moving	3
mucho	-3
muitas	-3
muito	-3
mulai	-3
my	1
na	-2
nach	-3
name	3
nao	-3
não	-3
nee	-2
nem	-3
nene	-3
nessa	-3
new	3
news	2
ni	-2
nicht	-3
no	0
nock	-3
nossa	-3
not	2
notice	3
nova	-2
novidade	-3
now	3
nunca	-3
o	-1
ofzo	-3
oi	-2
obrigada	-3
of	2
okay	1
old	3
om	-2
on	1
one	2
ones	3
only	3
ook	-3
open	2
or	1
orang	-3
ou	-3
oui	-3
our	3
out	3
over	1
pada	-3
pake	-3
pala	-3
palak	-3
palem	-3
para	-3
payah	-3
pelo	-3
pengen	-3
picture	3
pictures	3
pintu	-3
pitten	-3
plak	-3
planet	1
plate	3
please	3
pois	-3
por	-3
porque	-3
ppl	1
pra	-3
present	3
puedo	-3
que	-1
quem	-3
quero	-3
ready	3
really	3
refuse	-3
right	3
rights	3
road	3
roupa	-3
rude	3
sabar	-3
safe	3
sama	-3
saturday	3
satu	-3
saur	-3
say	3
saya	-3
school	3
score	1
se	-1
segem	-3
segue	-3
sendo	-3
sengat	-3
ser	-3
serio	-3
seu	-3
seven	3
sexo	-3
she	2
shit	2
shut	3
si	-3
simples	-3
siente	-3
sin	-3
sino	-3
size	3
show	3
smooth	3
so	1
só	-3
solto	-3
some	2
somebody	3
sometimes	3
sono	-3
sorry	3
staat	-3
state	2
still	3
such	3
supero	-3
sure	3
tak	-3
ta	-2
taken	3
tan	-2
tao	-1
tapi	-3
tar	-3
tarde	-3
tau	-2
tava	-3
tayo	-3
teacher	3
te	-1
tedio	-3
telak	-3
tem	-3
tengo	-3
teu	-3
than	3
thank	3
thanks	3
that	3
that's	3
the	2
then	3
they	3
there	3
thing	3
things	3
think	3
this	3
thought	3
thus	3
tiempo	-3
time	1
tinha	-3
tirar	-3
to	1
today	3
todos	-2
too	2
tout	-3
travel	3
true	3
try	2
trying	3
tu	-3
tua	-3
tudo	-3
two	3
u	0
uda	-3
udah	-3
ular	-3
um	-2
uma	-3
umas	-3
un	-1
una	-3
und	-3
uns	-3
up	1
ur	0
US	1
va	-2
vas	-3
veja	-3
vendo	-3
verde	-3
verdade	-3
very	3
vida	-3
virão	-3
visited	3
viva	-3
vo	-3
volto	-3
voor	-3
voce	-3
você	-3
volta	-3
vou	-3
wait	-3
walk	3
want	3
was	2
we	1
weer	-3
welcome	3
well	2
what	3
when	3
which	3
while	3
who	2
